Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,147.525,-94.74,0.0,top
C2,100nF,C_0603_1608Metric,147.525,-91.84,0.0,top
D1,1N4148W,D_SOD-123,109.25,-65.79,90.0,top
D10,1N4148W,D_SOD-123,109.25,-122.84,90.0,top
D11,1N4148W,D_SOD-123,128.35,-103.14,90.0,top
D12,1N4148W,D_SOD-123,128.35,-122.69,90.0,top
D13,1N4148W,D_SOD-123,147.5,-103.14,90.0,top
D14,1N4148W,D_SOD-123,147.55,-122.69,90.0,top
D15,1N4148W,D_SOD-123,166.7,-103.09,90.0,top
D16,1N4148W,D_SOD-123,166.7,-122.54,90.0,top
D2,1N4148W,D_SOD-123,128.4,-65.59,90.0,top
D3,1N4148W,D_SOD-123,147.5,-65.34,90.0,top
D4,1N4148W,D_SOD-123,166.75,-65.49,90.0,top
D5,1N4148W,D_SOD-123,109.25,-84.34,90.0,top
D6,1N4148W,D_SOD-123,128.35,-84.84,90.0,top
D7,1N4148W,D_SOD-123,147.55,-85.09,90.0,top
D8,1N4148W,D_SOD-123,166.75,-85.29,90.0,top
D9,1N4148W,D_SOD-123,109.2,-103.19,90.0,top
RESET,TS-1178A,SW_Push_1P1T_XKB_TS-1187A,161.44,-91.82,180.0,bottom
U1,CH32V003FxPx,TSSOP-20_4.4x6.5mm_P0.65mm,147.475,-93.1775,90.0,bottom
